order_id,date,time,item_id,price
000001,2019-01-01,08:38:36,01,9.5
000002,2019-01-01,08:57:40,02,12.25
000002,2019-01-01,08:57:40,03,12.25
000002,2019-01-01,08:57:40,04,17
000002,2019-01-01,08:57:40,05,14.75
000002,2019-01-01,08:57:40,06,17
000003,2019-01-01,09:12:28,07,17
000003,2019-01-01,09:12:28,06,12.75
000004,2019-01-01,09:16:31,06,12.75
000005,2019-01-01,09:21:30,06,12.75
000006,2019-01-01,09:29:36,08,9
000006,2019-01-01,09:29:36,09,8.25
000007,2019-01-01,09:50:37,10,8.75
000008,2019-01-01,09:51:37,10,8.75
000009,2019-01-01,09:52:01,06,17
000009,2019-01-01,09:52:01,03,8.25
000009,2019-01-01,09:52:01,11,17
000009,2019-01-01,09:52:01,12,17
000009,2019-01-01,09:52:01,13,16.75
000009,2019-01-01,09:52:01,14,8.25
000009,2019-01-01,09:52:01,15,8.25
000009,2019-01-01,09:52:01,02,8.25
000009,2019-01-01,09:52:01,06,8.75
000010,2019-01-01,10:00:15,03,16.5
000010,2019-01-01,10:00:15,16,17
000011,2019-01-01,10:02:59,17,11.5
000011,2019-01-01,10:02:59,18,17
000011,2019-01-01,10:02:59,18,13
000011,2019-01-01,10:02:59,08,17
000012,2019-01-01,10:04:41,18,9
000012,2019-01-01,10:04:41,06,12.75
000012,2019-01-01,10:04:41,18,17
000012,2019-01-01,10:04:41,19,17
000013,2019-01-01,10:11:55,03,16.5
000014,2019-01-01,10:14:19,09,8.25
000015,2019-01-01,10:33:00,20,8.25
000015,2019-01-01,10:33:00,05,14.75
000015,2019-01-01,10:33:00,21,17
000015,2019-01-01,10:33:00,09,8.25
000016,2019-01-01,10:34:07,04,17
000016,2019-01-01,10:34:07,22,14.2
000016,2019-01-01,10:34:07,23,8.25
000017,2019-01-01,10:53:00,24,12.25
000017,2019-01-01,10:53:00,08,17
000017,2019-01-01,10:53:00,06,12.75
000017,2019-01-01,10:53:00,03,16.5
000017,2019-01-01,10:53:00,22,11
000017,2019-01-01,10:53:00,25,16.5
000017,2019-01-01,10:53:00,24,12.25
000017,2019-01-01,10:53:00,05,14.75
000017,2019-01-01,10:53:00,26,9
000017,2019-01-01,10:53:00,27,12.5
000017,2019-01-01,10:53:00,28,8.75
000018,2019-01-01,10:57:08,23,16.75
000019,2019-01-01,10:59:09,29,16.5
000019,2019-01-01,10:59:09,13,16.75
000020,2019-01-01,11:03:08,05,14.75
000020,2019-01-01,11:03:08,20,8.25
000021,2019-01-01,11:14:29,13,16.75
000022,2019-01-01,11:16:26,13,12.25
000022,2019-01-01,11:16:26,16,17
000022,2019-01-01,11:16:26,05,14.75
000023,2019-01-01,11:19:03,16,9
000024,2019-01-01,11:23:01,13,12.25
000024,2019-01-01,11:23:01,17,8.75
000024,2019-01-01,11:23:01,07,8.75
000024,2019-01-01,11:23:01,08,13
000025,2019-01-01,11:44:44,04,17
000025,2019-01-01,11:44:44,29,12.5
000026,2019-01-01,11:54:26,02,8.25
000026,2019-01-01,11:54:26,14,16.5
000027,2019-01-01,12:11:17,08,17
000027,2019-01-01,12:11:17,25,16.5
000027,2019-01-01,12:11:17,02,12.25
000028,2019-01-01,12:35:46,30,9
000029,2019-01-01,12:41:01,15,8.25
000030,2019-01-01,12:41:25,04,17
000031,2019-01-01,12:50:18,03,12.25
000031,2019-01-01,12:50:18,17,6
000032,2019-01-01,12:53:18,13,16.75
000032,2019-01-01,12:53:18,15,16.5
000032,2019-01-01,12:53:18,20,8.25
000032,2019-01-01,12:53:18,06,12.75
000033,2019-01-01,12:54:08,08,17
